Size,Tree,Operation,Time
1000,BST,insert,6200
1000,BST,find,88500
1000,BST,height,199900
1000,BST,delete,202600
1000,AVL,insert,2600
1000,AVL,find,800
1000,AVL,height,2300
1000,AVL,delete,6700
2000,BST,insert,15400
2000,BST,find,10800
2000,BST,height,308800
2000,BST,delete,12900
2000,AVL,insert,500
2000,AVL,find,500
2000,AVL,height,400
2000,AVL,delete,1500
3000,BST,insert,16100
3000,BST,find,17100
3000,BST,height,171100
3000,BST,delete,19100
3000,AVL,insert,400
3000,AVL,find,400
3000,AVL,height,400
3000,AVL,delete,1200
4000,BST,insert,21400
4000,BST,find,22300
4000,BST,height,35600
4000,BST,delete,22500
4000,AVL,insert,200
4000,AVL,find,500
4000,AVL,height,500
4000,AVL,delete,1800
5000,BST,insert,25100
5000,BST,find,25800
5000,BST,height,30000
5000,BST,delete,26200
5000,AVL,insert,400
5000,AVL,find,700
5000,AVL,height,800
5000,AVL,delete,2300
6000,BST,insert,35100
6000,BST,find,29700
6000,BST,height,35000
6000,BST,delete,31400
6000,AVL,insert,400
6000,AVL,find,500
6000,AVL,height,600
6000,AVL,delete,1700
7000,BST,insert,35200
7000,BST,find,49600
7000,BST,height,41800
7000,BST,delete,36300
7000,AVL,insert,300
7000,AVL,find,700
7000,AVL,height,600
7000,AVL,delete,2400
8000,BST,insert,60100
8000,BST,find,56100
8000,BST,height,55800
8000,BST,delete,54200
8000,AVL,insert,4600
8000,AVL,find,4900
8000,AVL,height,6500
8000,AVL,delete,12200
9000,BST,insert,71300
9000,BST,find,47500
9000,BST,height,66300
9000,BST,delete,53400
9000,AVL,insert,100
9000,AVL,find,100
9000,AVL,height,900
9000,AVL,delete,1600
10000,BST,insert,52700
10000,BST,find,82000
10000,BST,height,58200
10000,BST,delete,49600
10000,AVL,insert,200
10000,AVL,find,100
10000,AVL,height,600
10000,AVL,delete,1400
11000,BST,insert,55200
11000,BST,find,65800
11000,BST,height,66200
11000,BST,delete,56900
11000,AVL,insert,300
11000,AVL,find,32600
11000,AVL,height,600
